17993,Henry & June,False,en,Romance,Walrus & Associates,0,1990-10-04,136,"While traveling in Paris, author Henry Miller and his wife, June, meet Anais Nin, and sexual sparks fly as Nin starts an affair with the openly bisexual June. When June is forced to return to the U.S., she gives Nin her blessing to sleep with her husband. Then, when June returns to France, an unexpected, and sometimes contentious, threesome forms.",11567449
11673,Cyrano de Bergerac,False,fr,Comedy|Drama|History|Romance,DD Productions|Films A2|Hachette Première,0,1990-03-28,137,"Embarrassed by his large nose, a romantic poet/soldier romances his cousin by proxy.",0
9086,Young Guns II,False,en,Adventure|Western,Morgan Creek Productions,20,1990-07-30,132,"Only three of the original five ""young guns"" -- Billy the Kid (Emilio Estevez), Jose Chavez y Chavez (Lou Diamond Phillips), and Doc Scurlock (Kiefer Sutherland) -- return in Young Guns, Part 2, which is the story of Billy the Kid and his race to safety in Old Mexico while being trailed by a group of government agents led by Pat Garrett",0
19185,Night of the Living Dead,False,en,Horror,21st Century Film Corporation|Columbia Pictures Corporation,4200000,1990-10-19,88,"In this remake of the original classic film, a group of people are trapped inside a farmhouse as legions of the walking dead try to get inside and use them for food.",5835247
18767,Island of Fire,False,cn,Action|Crime|Drama|Foreign|Thriller,,0,1990-01-01,95,Someone in a prison run by a corrupt warden fakes the deaths of convicts to later use them as expendable assassins. A police officer is sent into the prison to gather evidence of the corruption.,0
10169,Men at Work,False,en,Comedy|Crime,Epic Productions|Euphoria Films Production,0,1990-08-24,98,"Two of garbage men find the body of a city councilman in a trash can on their route. With help from a supervisor, the duo must solve the case and find the man's killer while hiding the body from the cops.",0
9362,Tremors,False,en,Action|Comedy|Horror|Science Fiction|Thriller,No Frills Film Production|Universal Pictures,11000000,1990-01-19,96,"Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.",48572000
9556,Darkman,False,en,Action|Crime|Science Fiction,Renaissance Pictures|Universal Pictures,16000000,1990-08-24,96,"Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.",48878502
2927,Moon 44,False,en,Action|Science Fiction|Thriller,Centropolis Film Productions,0,1990-02-15,98,"Year 2038: The mineral resources of the earth are drained, in space there are fights for the last deposits on other planets and satellites. This is the situation when one of the bigger mining corporations has lost all but one mineral moons and many of their fully automatic mining robots are disappearing on their flight home. Since nobody else wants the job, they send prisoners to defend the mining station. Among them undercover agent Stone, who shall clear the whereabouts of the expensive robots. In an atmosphere of corruption, fear and hatred he gets between the fronts of rivaling groups.",0
11510,Repossessed,False,en,Comedy|Horror,Carolco Pictures|Seven Arts Productions,0,1990-09-14,80,"It's been some time since Father Jebedaiah Mayii exorcised the Devil from little Nancy Aglet, who is now grown up with a husband and two children of her own. But the prince of darkness wants to go a second round and has returned to repossess her! With Father Mayii unwilling to help, Father Luke Brophy tries his best to help Nancy, even when TV's Ernest Weller plans to air the exorcism live on TV.",0
